longitude,latitude,room_type
103.82701,1.31873,Entire home/apt
103.87676,1.3105799999999999,Entire home/apt
103.84273,1.3001200000000002,Entire home/apt
103.85753000000001,1.2985,Private room
103.85861,1.30959,Private room
103.84219,1.2988600000000001,Entire home/apt
103.83242,1.30365,Entire home/apt
103.86332,1.30354,Entire home/apt
103.84903,1.2803799999999999,Entire home/apt
103.84137,1.2979399999999999,Entire home/apt
103.85559,1.30834,Entire home/apt
103.82623000000001,1.29269,Entire home/apt
103.86171,1.31065,Entire home/apt
103.84225,1.2919399999999999,Entire home/apt
103.85406,1.30879,Entire home/apt
103.84773,1.27783,Private room
103.83533,1.2902,Entire home/apt
103.86199,1.3123,Entire home/apt
103.84246,1.29074,Entire home/apt
103.85024,1.3040100000000001,Entire home/apt
103.84629,1.3688799999999999,Private room
103.85101,1.30264,Entire home/apt
103.85573000000001,1.30905,Entire home/apt
103.81538,1.4484299999999999,Private room
103.82364,1.24881,Entire home/apt
103.84347,1.28506,Entire home/apt
103.82681,1.2927600000000001,Entire home/apt
103.8579,1.30116,Entire home/apt
103.86187,1.30208,Entire home/apt
103.83663,1.28806,Entire home/apt
103.83412,1.30392,Entire home/apt
103.83341,1.30425,Entire home/apt
103.82666,1.29375,Entire home/apt
103.84409000000001,1.28625,Entire home/apt
103.84129,1.29134,Entire home/apt
103.84198,1.29254,Entire home/apt
103.86143,1.31125,Entire home/apt
103.84473,1.2760799999999999,Private room
103.85151,1.30292,Entire home/apt
103.90726,1.3262,Entire home/apt
103.88515,1.31295,Entire home/apt
103.87747,1.30997,Entire home/apt
103.85893,1.31436,Entire home/apt
103.95988,1.35625,Private room
103.8277,1.29406,Entire home/apt
103.90244,1.33467,Shared room
103.8873,1.3562100000000001,Entire home/apt
103.86048000000001,1.31227,Entire home/apt
103.85416,1.32198,Private room
103.85991,1.31275,Entire home/apt
103.74011999999999,1.33397,Entire home/apt
103.78645,1.27886,Entire home/apt
103.8373,1.27549,Entire home/apt
103.8323,1.35389,Entire home/apt
103.83409,1.40572,Private room
103.81967,1.35176,Private room
103.91575999999999,1.32159,Entire home/apt
103.82596,1.29378,Entire home/apt
103.84161999999999,1.29091,Entire home/apt
103.81877,1.3524399999999999,Entire home/apt
103.84214,1.29273,Entire home/apt
103.85665,1.30775,Private room
103.79916999999999,1.3118,Entire home/apt
103.87794,1.31149,Entire home/apt
103.85387,1.30493,Entire home/apt
103.85004,1.29069,Entire home/apt
103.88874,1.29813,Entire home/apt
103.8408,1.2925799999999998,Entire home/apt
103.84061,1.2867899999999999,Shared room
103.83915,1.24391,Entire home/apt
103.84936,1.27566,Entire home/apt
103.8578,1.28346,Private room
103.84815,1.27565,Entire home/apt
103.85386,1.31339,Entire home/apt
103.82985,1.30388,Entire home/apt
103.82894,1.30061,Entire home/apt
103.87643,1.31101,Entire home/apt
103.85967,1.3123200000000002,Private room
103.86098,1.31054,Private room
103.87916,1.31172,Entire home/apt
103.87923,1.3127,Entire home/apt
103.87861,1.31059,Entire home/apt
103.87899,1.3117299999999998,Entire home/apt
103.8428,1.3003,Entire home/apt
103.87799,1.31114,Entire home/apt
103.84255,1.2989,Entire home/apt
103.82883000000001,1.30186,Entire home/apt
103.87727,1.31229,Entire home/apt
103.85221,1.27793,Entire home/apt
103.83171999999999,1.29031,Entire home/apt
103.84595999999999,1.29805,Entire home/apt
103.85448000000001,1.31575,Entire home/apt
103.81071,1.26714,Entire home/apt
103.84198,1.29922,Entire home/apt
103.85322,1.31041,Entire home/apt
103.85553,1.3090600000000001,Entire home/apt
103.85426,1.30918,Entire home/apt
103.85284,1.31525,Entire home/apt
103.84557,1.29925,Entire home/apt
103.84939,1.30328,Entire home/apt
103.84886,1.3038100000000001,Entire home/apt
103.85264000000001,1.31512,Entire home/apt
103.82883000000001,1.29597,Entire home/apt
103.88443000000001,1.31528,Shared room
103.79507,1.33341,Private room
